Order ID,Order Date,Product,Price,Quantity,City,State
221958,01-01-2020,Fire Stick,51.53,4,Chicago,NY
771155,01-01-2020,Kindle,91.94,2,Los Angeles,IL
231932,01-01-2020,Kindle,64.88,4,New York,NY
465838,01-01-2020,Fire Stick,53.52,5,Chicago,CA
359178,01-01-2020,Smart Plug,113.79,2,Philadelphia,AZ
744167,01-01-2020,Smart Plug,52.31,3,Chicago,CA
210268,01-01-2020,Smart Plug,64.82,5,New York,IL
832180,01-01-2020,Kindle,85.9,4,Phoenix,AZ
154886,01-01-2020,Ring Doorbell,35.5,4,New York,PA
237337,01-01-2020,Echo Dot,39.19,4,Los Angeles,IL
621430,01-01-2020,Kindle,86.6,2,Phoenix,IL
187498,01-01-2020,Alexa,83.21,2,Philadelphia,IL
999159,01-01-2020,Alexa,84.24,3,Phoenix,IL
275203,01-01-2020,Ring Doorbell,83.39,1,Philadelphia,IL
291335,01-01-2020,Kindle,105.12,5,New York,CA
378167,01-01-2020,Kindle,59.74,4,Phoenix,NY
141090,01-01-2020,Fire Stick,45.8,5,Philadelphia,CA
429365,01-01-2020,Smart Plug,110.77,2,Los Angeles,AZ
164820,01-01-2020,Ring Doorbell,80.35,4,Phoenix,PA
887201,01-01-2020,Fire Stick,101.01,1,Philadelphia,PA
421879,01-01-2020,Ring Doorbell,47.28,3,Chicago,NY
818315,01-01-2020,Alexa,71.73,5,Phoenix,PA
427069,01-01-2020,Alexa,40.64,1,Phoenix,PA
876997,01-01-2020,Echo Dot,38.9,4,Phoenix,CA
299041,01-01-2020,Smart Plug,70.88,5,New York,AZ
891743,01-01-2020,Smart Plug,83.56,2,Philadelphia,CA
203355,01-01-2020,Ring Doorbell,113.48,5,Phoenix,PA
335796,01-01-2020,Alexa,34.39,4,Philadelphia,AZ
314176,01-01-2020,Fire Stick,63.54,1,Chicago,IL
284779,01-01-2020,Kindle,96.57,4,Phoenix,PA
447449,01-01-2020,Smart Plug,57.36,2,New York,AZ
521909,01-01-2020,Kindle,97.76,4,Phoenix,NY
358795,01-01-2020,Alexa,115.54,2,Philadelphia,IL
586232,01-01-2020,Echo Dot,82.97,2,Phoenix,CA
600186,01-01-2020,Alexa,52.56,4,Los Angeles,AZ
256730,01-01-2020,Kindle,83.56,3,New York,IL
970910,01-01-2020,Alexa,57.3,2,Chicago,IL
484681,02-01-2020,Smart Plug,45.24,5,Philadelphia,AZ
249503,02-01-2020,Ring Doorbell,101.34,4,Chicago,IL
754811,02-01-2020,Ring Doorbell,89.66,5,Philadelphia,PA
627035,02-01-2020,Kindle,106.5,2,Los Angeles,AZ
748143,02-01-2020,Kindle,108.48,4,Philadelphia,CA
552366,02-01-2020,Echo Dot,62.1,4,Chicago,IL
165725,02-01-2020,Smart Plug,40.13,2,Philadelphia,IL
229981,02-01-2020,Fire Stick,72.43,1,New York,IL
184654,02-01-2020,Echo Dot,61.91,4,Phoenix,PA
691723,02-01-2020,Smart Plug,87,4,Chicago,CA
419030,02-01-2020,Ring Doorbell,105.87,5,New York,CA
428947,02-01-2020,Fire Stick,85.04,2,Philadelphia,AZ
655839,02-01-2020,Ring Doorbell,30.97,2,Phoenix,IL
373538,02-01-2020,Kindle,84.31,3,Phoenix,IL
431236,02-01-2020,Ring Doorbell,41.62,4,Philadelphia,PA
628178,02-01-2020,Echo Dot,58.5,3,Philadelphia,PA
665894,02-01-2020,Kindle,51.63,4,Phoenix,CA
589492,02-01-2020,Kindle,75.26,5,Chicago,IL
356840,02-01-2020,Kindle,100.85,3,Philadelphia,CA
573254,02-01-2020,Smart Plug,33.43,1,Los Angeles,IL
449457,02-01-2020,Fire Stick,35.2,4,Philadelphia,IL
765987,02-01-2020,Smart Plug,116.32,3,Los Angeles,AZ
370936,02-01-2020,Kindle,69.55,4,New York,AZ
339931,02-01-2020,Echo Dot,96.62,2,Los Angeles,AZ
339629,02-01-2020,Ring Doorbell,108.84,4,Chicago,AZ
305041,02-01-2020,Kindle,64.36,2,Philadelphia,PA
798361,02-01-2020,Fire Stick,79.34,3,Los Angeles,CA
831912,02-01-2020,Smart Plug,107.9,4,New York,CA
517113,02-01-2020,Fire Stick,83.96,2,Phoenix,CA
168148,02-01-2020,Smart Plug,46.96,2,New York,NY
877089,02-01-2020,Ring Doorbell,83.89,3,Los Angeles,IL
748531,02-01-2020,Fire Stick,116.96,5,Los Angeles,PA
351995,02-01-2020,Fire Stick,118.77,2,Chicago,CA
778843,02-01-2020,Smart Plug,111.77,2,Phoenix,PA
672843,02-01-2020,Smart Plug,94.97,1,Philadelphia,PA
356508,02-01-2020,Smart Plug,109.38,3,Chicago,AZ
903591,02-01-2020,Alexa,66.92,3,Chicago,CA
996942,03-01-2020,Ring Doorbell,60.76,2,Phoenix,CA
206530,03-01-2020,Fire Stick,119.55,5,Chicago,IL
704365,03-01-2020,Alexa,109.39,1,Los Angeles,NY
922352,03-01-2020,Alexa,40.31,4,New York,AZ
560337,03-01-2020,Kindle,102.91,5,Phoenix,IL
824839,03-01-2020,Alexa,31.09,5,Phoenix,IL
905889,03-01-2020,Alexa,68.38,4,Philadelphia,PA
559773,03-01-2020,Smart Plug,37.58,1,Los Angeles,NY
308261,03-01-2020,Smart Plug,63.15,5,New York,CA
864469,03-01-2020,Echo Dot,102.92,5,New York,NY
441097,03-01-2020,Ring Doorbell,43.51,3,Phoenix,CA
415139,03-01-2020,Fire Stick,61.66,4,Chicago,NY
271829,03-01-2020,Ring Doorbell,52.98,4,New York,NY
371836,03-01-2020,Alexa,41.7,1,Phoenix,NY
538974,03-01-2020,Alexa,117.22,3,Philadelphia,PA
302283,03-01-2020,Fire Stick,69.08,4,New York,CA
296769,03-01-2020,Ring Doorbell,31.96,2,Los Angeles,PA
661353,03-01-2020,Smart Plug,90.98,2,Chicago,AZ
323165,03-01-2020,Smart Plug,77.24,3,Phoenix,PA
723587,03-01-2020,Fire Stick,103.78,3,Chicago,IL
635822,03-01-2020,Fire Stick,62.73,1,New York,IL
587879,03-01-2020,Smart Plug,111.94,3,Phoenix,AZ
664685,03-01-2020,Fire Stick,32.51,1,Philadelphia,CA
882038,03-01-2020,Ring Doorbell,77.18,1,Chicago,IL
453531,03-01-2020,Smart Plug,73.99,3,Chicago,PA
363160,03-01-2020,Fire Stick,31.06,3,Chicago,AZ
679879,03-01-2020,Smart Plug,35.7,1,Phoenix,IL
320884,03-01-2020,Echo Dot,55.9,2,Chicago,CA
123247,03-01-2020,Smart Plug,81.73,2,Phoenix,NY
124300,03-01-2020,Smart Plug,48.59,2,Phoenix,IL
567281,03-01-2020,Alexa,46.56,5,Philadelphia,NY
707086,03-01-2020,Ring Doorbell,42.22,2,Philadelphia,PA
633556,03-01-2020,Smart Plug,113.51,4,New York,NY
448951,03-01-2020,Fire Stick,80.82,1,New York,IL
374329,03-01-2020,Kindle,52.17,4,Chicago,NY
819064,03-01-2020,Fire Stick,117.41,2,Phoenix,AZ
842139,04-01-2020,Alexa,66.75,2,Phoenix,IL
532315,04-01-2020,Fire Stick,40.09,3,Chicago,CA
616588,04-01-2020,Echo Dot,75.99,4,Los Angeles,AZ
336584,04-01-2020,Kindle,69.15,2,Philadelphia,IL
662332,04-01-2020,Kindle,85.58,1,Phoenix,NY
937646,04-01-2020,Ring Doorbell,92.92,2,New York,AZ
476896,04-01-2020,Alexa,61.14,3,Los Angeles,PA
148984,04-01-2020,Ring Doorbell,45.41,5,Phoenix,IL
402918,04-01-2020,Kindle,67.22,4,Philadelphia,NY
364712,04-01-2020,Smart Plug,75.44,2,Los Angeles,NY
220151,04-01-2020,Alexa,71.97,1,Los Angeles,CA
555808,04-01-2020,Ring Doorbell,33.05,1,Los Angeles,PA
233767,04-01-2020,Echo Dot,101.48,5,New York,IL
748663,04-01-2020,Kindle,60.89,5,New York,PA
803550,04-01-2020,Kindle,56.36,1,Los Angeles,CA
236330,04-01-2020,Alexa,49.21,2,Philadelphia,NY
580754,04-01-2020,Kindle,82.46,2,New York,NY
401648,04-01-2020,Kindle,83.02,5,New York,PA
788519,04-01-2020,Echo Dot,68.78,1,New York,PA
113986,04-01-2020,Echo Dot,90.54,4,Chicago,AZ
686146,04-01-2020,Alexa,33.44,2,Los Angeles,CA
229312,04-01-2020,Kindle,102.22,3,Philadelphia,IL
112666,04-01-2020,Ring Doorbell,53.06,2,Philadelphia,NY
400804,04-01-2020,Fire Stick,72.18,2,Chicago,AZ
234633,04-01-2020,Alexa,97.05,5,New York,AZ
388998,04-01-2020,Ring Doorbell,45.67,4,Philadelphia,NY
950937,04-01-2020,Echo Dot,111.25,3,New York,AZ
728776,04-01-2020,Fire Stick,42.22,5,New York,IL
807611,04-01-2020,Ring Doorbell,103.15,2,Phoenix,CA
384806,04-01-2020,Ring Doorbell,65.88,1,Philadelphia,IL
894824,04-01-2020,Kindle,44.77,4,Phoenix,CA
130535,04-01-2020,Alexa,108.26,1,Chicago,CA
475713,04-01-2020,Alexa,95.91,3,Los Angeles,PA
938688,04-01-2020,Echo Dot,50.67,4,Los Angeles,CA
451279,04-01-2020,Smart Plug,89.87,5,Los Angeles,IL
921654,04-01-2020,Smart Plug,44.04,4,Los Angeles,AZ
